	2637 			; 4 ми

523.25				; 2 до

784				; 2 соль

523.25				; 2 до

	2637			; 4 ми

	2349.2			; 4 ре

	2093			; 4 до

	2637			; 4 ми

	2793.8			; 4 фа

698.46				; 2 фа

	2793.8			; 4 фа

698.46				; 2 фа

	2349.2			; 4 ре

587.32				; 2 ре

	3136.00			; 4 соль

784.00				; 2 соль

587.32				; 2 ре

784.00				; 2 соль

	3136.00			; 4 соль

784.00				; 2 соль

	3951.00			; 4 си

	3440.00			; 4 ля

	3136.00			; 4 соль

	2349.2			; 4 ре

	2793.8			; 4 фа

698.46				; 2 фа

	3136.00			; 4 соль

784.00				; 2 соль

	2793.8			; 4 фа

698.46				; 2 фа

	2793.8			; 4 фа

523.25				; 2 до

261.63				; 1 до

	1318.50			; 3 ми

	1568.00			; 3 соль

	1318.50			; 3 ми

329.63				; 1 ми

	1318.50			; 3 ми

	1568.00			; 3 соль

	1318.50			; 3 ми

349.23				; 1 фа

	1396.90			; 3 фа

	1720.00			; 3 ля

	1396.90			; 3 фа

	1720.00			; 3 ля

	1396.90			; 3 фа

	1720.00			; 3 ля

	1396.90			; 3 фа

293.66				; 1 ре

	1480.00			; 3 фа#

	1720.00			; 3 ля

	1480.00			; 3 фа#

369.99				; 1 фа#

	1480.00			; 3 фа#

	1720.00			; 3 ля

	1480.00			; 3 фа#

392.00				; 1 соль

	1568.00			; 3 соль

	1975.50			; 3 си

	2349.20			; 4 ре

	3136.00			; 4 соль

	2349.20			; 4 ре

	1975.50			; 3 си

	1568.00			; 3 соль

--- 5.10 ----------------------
	2637 			; 4 ми
	3136.00			; 4 соль
523.25				; 2 до
				;	*
784				; 2 соль
				;	*
523.25				; 2 до
				;	*
	2637			; 4 ми
	3136.00			; 4 соль
	2349.2			; 4 ре
	2793.8			; 4 фа
	2093			; 4 до
	2637			; 4 ми
	2637			; 4 ми
	3136.00			; 4 соль
	2793.8			; 4 фа
 	3440.00			; 4 ля
698.46				; 2 фа
				;	*
	2793.8			; 4 фа
 	3440.00			; 4 ля
698.46				; 2 фа
				;	*
	2349.2			; 4 ре
	2793.8			; 4 фа
587.32				; 2 ре
				;	*
	3136.00			; 4 соль
	4186.00			; 5 до
784.00				; 2 соль
				;	*
587.32				; 2 ре
				;	*
784.00				; 2 соль
				;	*
	3136.00			; 4 соль
	4186.00			; 5 до
784.00				; 2 соль
				;	*
	3951.00			; 4 си
	3136.00			; 4 соль
	3440.00			; 4 ля
	2793.8			; 4 фа
	3136.00			; 4 соль
	4186.00			; 5 до
	2349.2			; 4 ре
	3136.00			; 4 соль
	2793.8			; 4 фа
	3440.00			; 4 ля
698.46				; 2 фа
				;	*
	3136.00			; 4 соль
	4186.00			; 5 до
784.00				; 2 соль
				;	*
	2793.8			; 4 фа
	3440.00			; 4 ля
698.46				; 2 фа
				;	*
	2793.8			; 4 фа
	3440.00			; 4 ля
523.25				; 2 до
				;	*
261.63				; 1 до

	1318.50			; 3 ми

	1568.00			; 3 соль

	1318.50			; 3 ми

329.63				; 1 ми

	1318.50			; 3 ми

	1568.00			; 3 соль

	1318.50			; 3 ми

349.23				; 1 фа

	1396.90			; 3 фа

	1720.00			; 3 ля

	1396.90			; 3 фа

	1720.00			; 3 ля

	1396.90			; 3 фа

	1720.00			; 3 ля

	1396.90			; 3 фа

293.66				; 1 ре

	1480.00			; 3 фа#

	1720.00			; 3 ля

	1480.00			; 3 фа#

369.99				; 1 фа#

	1480.00			; 3 фа#

	1720.00			; 3 ля

	1480.00			; 3 фа#

392.00				; 1 соль

	1568.00			; 3 соль

	1975.50			; 3 си

	2349.20			; 4 ре

	3136.00			; 4 соль

	2349.20			; 4 ре

	1975.50			; 3 си

	1568.00			; 3 соль
